This is potfit-git compiled on Nov 22 2016, 11:14:40.

Reading parameter file >> input_test.tmp << ... 
Reading parameter file >> input_test.tmp << ... done
Starting to read the potential file:
 - Potential file format 0 (analytic potentials) detected
 - Using 1 PAIR potentials to calculate forces
 - Successfully read 1 potential table(s)
Reading potential file >> LJ_230616.pot << ... done
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ...
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ... done

Read 6 configurations (6 with forces, 0 with stresses)
with a total of 182 atoms (182 Ni (100.00%)).

Minimal Distances Matrix:
Atom	      Ni	with
Ni	2.276916	

Global energy weight: 100.000000

Starting optimization with 3 parameters.
  k	T        	  m	F          	F_opt
  0	100.000000	  0	10932.067040	10932.067040
  0	100.000000	  1	10874.891984	10805.615394
  0	100.000000	  2	9636.718969	9636.545134
  0	100.000000	  3	2503.035173	2475.536754
  0	100.000000	  4	2548.906575	2475.536754
  0	100.000000	  5	2585.803882	2464.803280
  0	100.000000	  6	2804.820708	2464.803280
  0	100.000000	  7	2540.308791	2464.803280
  0	100.000000	  8	2566.253602	2464.803280
  0	100.000000	  9	2892.771805	2464.803280
  1	85.000000	  1	2574.791249	2464.803280
  1	85.000000	  2	2514.533157	2464.803280
  1	85.000000	  3	2550.482622	2464.803280
  1	85.000000	  4	2614.492473	2464.803280
  1	85.000000	  5	2570.678934	2464.803280
  1	85.000000	  6	2866.940825	2464.803280
  1	85.000000	  7	2572.548905	2464.803280
  1	85.000000	  8	2566.117957	2464.738210
  1	85.000000	  9	2596.653442	2464.738210
  2	72.250000	  1	2466.102743	2464.738210
  2	72.250000	  2	2497.007465	2464.738210
  2	72.250000	  3	2532.203684	2464.738210
  2	72.250000	  4	2515.913895	2464.738210
  2	72.250000	  5	2473.504298	2464.738210
  2	72.250000	  6	2548.848665	2464.738210
  2	72.250000	  7	2633.904836	2464.738210
  2	72.250000	  8	2601.017706	2464.738210
  2	72.250000	  9	2548.311579	2464.738210
  3	61.412500	  1	2581.233181	2464.738210
  3	61.412500	  2	2588.734189	2464.738210
  3	61.412500	  3	2640.401304	2464.738210
  3	61.412500	  4	2545.303276	2464.738210
  3	61.412500	  5	2764.167656	2464.738210
  3	61.412500	  6	2589.830656	2464.738210
  3	61.412500	  7	2489.262945	2464.738210
  3	61.412500	  8	2533.880587	2464.738210
  3	61.412500	  9	2542.331642	2464.738210
  4	52.200625	  1	2563.201598	2464.738210
  4	52.200625	  2	2505.096495	2464.738210
  4	52.200625	  3	2531.193599	2464.738210
  4	52.200625	  4	2469.185577	2463.730272
  4	52.200625	  5	2471.960596	2463.730272
  4	52.200625	  6	2488.226661	2463.730272
  4	52.200625	  7	2468.328132	2463.730272
  4	52.200625	  8	2592.650160	2463.730272
  4	52.200625	  9	2488.517859	2463.730272
  5	44.370531	  1	2513.291707	2463.730272
  5	44.370531	  2	2486.475650	2463.730272
  5	44.370531	  3	2622.827353	2463.730272
  5	44.370531	  4	2476.409415	2463.730272
  5	44.370531	  5	2512.412989	2463.730272
  5	44.370531	  6	2489.178441	2463.730272
  5	44.370531	  7	2472.615822	2463.730272
  5	44.370531	  8	2566.444231	2463.730272
  5	44.370531	  9	2515.249661	2463.730272
  6	37.714952	  1	2466.207467	2463.730272
  6	37.714952	  2	2494.762654	2463.730272
  6	37.714952	  3	2613.778569	2463.730272
  6	37.714952	  4	2512.151778	2463.730272
  6	37.714952	  5	2514.686304	2463.730272
  6	37.714952	  6	2368.042822	2368.042822
  6	37.714952	  7	2379.374075	2327.881869
  6	37.714952	  8	2340.243475	2327.881869
  6	37.714952	  9	2387.875363	2304.944707
  7	32.057709	  1	2229.820520	2226.548830
  7	32.057709	  2	2328.736340	2226.548830
  7	32.057709	  3	2296.155902	2226.548830
  7	32.057709	  4	2205.922342	2205.559533
  7	32.057709	  5	2143.047328	2132.928736
  7	32.057709	  6	2226.867213	2115.854978
  7	32.057709	  7	2003.188221	1991.980445
  7	32.057709	  8	1821.051129	1818.438090
  7	32.057709	  9	768.981433	762.789435
  8	27.249053	  1	49.630743	9.577344
  8	27.249053	  2	3.149614	3.149614
  8	27.249053	  3	2.481853	0.581197
  8	27.249053	  4	1.332836	0.399923
  8	27.249053	  5	3.006673	0.399923
  8	27.249053	  6	47.164633	0.399923
  8	27.249053	  7	39.328143	0.354948
  8	27.249053	  8	34.938114	0.354948
  8	27.249053	  9	4.536039	0.354948
  9	23.161695	  1	12.923543	0.354948
  9	23.161695	  2	8.652404	0.354948
  9	23.161695	  3	8.560210	0.351629
  9	23.161695	  4	0.707685	0.351629
  9	23.161695	  5	17.934124	0.351629
  9	23.161695	  6	22.047925	0.351629
  9	23.161695	  7	8.576813	0.351629
  9	23.161695	  8	50.906615	0.351629
  9	23.161695	  9	10.170502	0.351629
 10	19.687440	  1	1.790991	0.351629
 10	19.687440	  2	2.864318	0.351629
 10	19.687440	  3	8.529244	0.351629
 10	19.687440	  4	5.619081	0.351629
 10	19.687440	  5	1.695800	0.351629
 10	19.687440	  6	7.837895	0.351629
 10	19.687440	  7	16.150421	0.257102
 10	19.687440	  8	4.817895	0.257102
 10	19.687440	  9	17.694670	0.257102
 11	16.734324	  1	5.319632	0.257102
 11	16.734324	  2	5.726041	0.257102
 11	16.734324	  3	4.143169	0.257102
 11	16.734324	  4	8.067753	0.257102
 11	16.734324	  5	14.253959	0.257102
 11	16.734324	  6	16.552807	0.257102
 11	16.734324	  7	2.309718	0.239066
 11	16.734324	  8	3.942984	0.239066
 11	16.734324	  9	44.582032	0.239066
 12	14.224176	  1	18.495076	0.203160
 12	14.224176	  2	33.658404	0.203160
 12	14.224176	  3	4.819657	0.203160
 12	14.224176	  4	13.567861	0.203160
 12	14.224176	  5	28.150895	0.203160
 12	14.224176	  6	3.898666	0.203160
 12	14.224176	  7	14.687074	0.203160
 12	14.224176	  8	9.047007	0.203160
 12	14.224176	  9	20.509555	0.203160
 13	12.090549	  1	17.319233	0.203160
 13	12.090549	  2	28.659393	0.203160
 13	12.090549	  3	18.032942	0.203160
 13	12.090549	  4	8.489439	0.203160
 13	12.090549	  5	35.527512	0.203160
 13	12.090549	  6	26.060758	0.203160
 13	12.090549	  7	15.512847	0.203160
 13	12.090549	  8	13.996614	0.203160
 13	12.090549	  9	9.497485	0.203160
 14	10.276967	  1	24.761259	0.203160
 14	10.276967	  2	3.624479	0.203160
 14	10.276967	  3	6.137874	0.203160
 14	10.276967	  4	30.102168	0.203160
 14	10.276967	  5	21.103549	0.203160
 14	10.276967	  6	8.087379	0.203160
 14	10.276967	  7	12.221190	0.203160
 14	10.276967	  8	3.536378	0.203160
 14	10.276967	  9	5.458280	0.203160
 15	8.735422	  1	10.094593	0.203160
 15	8.735422	  2	10.077401	0.203160
 15	8.735422	  3	6.186823	0.203160
 15	8.735422	  4	11.086571	0.203160
 15	8.735422	  5	4.076518	0.203160
 15	8.735422	  6	2.755081	0.203160
 15	8.735422	  7	0.915929	0.203160
 15	8.735422	  8	19.127014	0.203160
 15	8.735422	  9	0.326212	0.203160
 16	7.425109	  1	0.662108	0.203160
 16	7.425109	  2	15.226697	0.203160
